vid_id,emoji_id,occurrance,emoji_text,label
964075925,114836,7709,Jebaited,
964075925,425618,5541,LUL,
964075925,555555584,3106,<3,
964075925,27509,2163,PermaSmug,
964075925,41,1826,Kreygasm,
964075925,34,1602,SwiftRage,
964075925,33,1229,DansGame,
964075925,1,1140,:),
964075925,25,1130,Kappa,
964075925,28087,1046,WutFace,
964075925,305954156,678,PogChamp,
964075925,301927760,653,gorgcFlower,
964075925,52,614,SMOrc,
964075925,64138,596,SeemsGood,
964075925,38436,555,TTours,
964075925,306436573,526,masonxdMASED,
964075925,86,405,BibleThump,
964075925,58765,385,NotLikeThis,
964075925,354,321,4Head,
964075925,81248,320,OSFrog,
964075925,120232,289,TriHard,
964075925,68856,257,MingLee,
964075925,55338,242,KappaPride,
964075925,22639,235,BabyRage,
964075925,4339,219,EleGiggle,
964075925,3792,206,ANELE,
964075925,305985519,191,drunkmersC,
964075925,303014372,182,jubeiBASED,
964075925,617641,175,admiralC,
964075925,304489128,174,GlitchLit,
964075925,425688,173,PowerUpL,
964075925,425671,159,PowerUpR,
964075925,144251,147,admiralSkadoosh,
964075925,58135,147,DendiFace,
964075925,1906,147,SoBayed,
964075925,1616652,123,gorgcFine,
964075925,116273,121,forsenFeels,
964075925,1177570,118,gorgcTP,
964075925,555555560,115,:D,
964075925,301963375,108,admiralSmug,
964075925,112292,107,TakeNRG,
964075925,555555558,102,:(,
964075925,1904,100,BigBrother,
964075925,1441281,100,FBCatch,
964075925,1932715,99,gorgc3Head,
964075925,301963365,97,admiralBaka,
964075925,1616660,97,gorgcAyaya,
964075925,304486301,95,GlitchCat,
964075925,301428702,94,BOP,
964075925,723510,92,admiralW,
964075925,879646,90,orgcGorp,
964075925,508650,89,TPFufun,
964075925,160404,85,TehePelo,
964075925,81273,82,KomodoHype,
964075925,300079142,81,gorgcAngery,
